specie;breed;gender;birthdate;insurance_carrier;r;l;d;commercialPremium
dog;australian sheperd;female;01/01/2024;1;0.6;1100;0;216.385321100917
dog;australian sheperd;female;01/01/2024;1;0.7;1500;20;290.623853211009
dog;australian sheperd;female;01/01/2024;1;0.8;1800;30;361.52752293578
dog;australian sheperd;female;01/01/2024;1;1;2500;75;739.266055045871
dog;australian sheperd;female;01/01/2024;1;0.9;2200;50;594.275229357798
dog;australian sheperd;female;02/05/2020;1;0.6;1100;0;234.330275229358
dog;australian sheperd;female;02/05/2020;1;0.7;1500;20;312.752293577982
dog;australian sheperd;female;02/05/2020;1;0.8;1800;30;393.123853211009
dog;australian sheperd;female;02/05/2020;1;1;2500;75;753.02752293578
dog;australian sheperd;female;02/05/2020;1;0.9;2200;50;607.376146788991
dog;australian sheperd;female;02/05/2022;1;0.6;1100;0;221.339449541284
dog;australian sheperd;female;02/05/2022;1;0.7;1500;20;290.623853211009
dog;australian sheperd;female;02/05/2022;1;0.8;1800;30;361.52752293578
dog;australian sheperd;female;02/05/2022;1;1;2500;75;739.266055045871
dog;australian sheperd;female;02/05/2022;1;0.9;2200;50;594.275229357798
dog;australian sheperd;female;02/05/2018;1;0.6;1100;0;354.440366972477
dog;australian sheperd;female;02/05/2018;1;0.7;1500;20;447.394495412844
dog;australian sheperd;female;02/05/2018;1;0.8;1800;30;574.885321100917
dog;german sheperd;female;01/01/2024;1;0.6;1100;0;327.02752293578
dog;german sheperd;female;01/01/2024;1;0.7;1500;20;427.137614678899
dog;german sheperd;female;01/01/2024;1;0.8;1800;30;531.729357798165
dog;german sheperd;female;01/01/2024;1;0.9;2200;50;824.036697247706
dog;german sheperd;female;01/01/2024;1;1;2500;75;1004.25688073394
dog;german sheperd;female;01/05/2020;1;0.6;1100;0;334.623853211009
dog;german sheperd;female;01/05/2020;1;0.7;1500;20;433.633027522936
dog;german sheperd;female;01/05/2020;1;0.8;1800;30;539.876146788991
dog;german sheperd;female;01/05/2020;1;0.9;2200;50;841.54128440367
dog;german sheperd;female;01/05/2020;1;1;2500;75;1023.30275229358
dog;german sheperd;female;01/05/2018;1;0.6;1100;0;526.844036697248
dog;german sheperd;female;01/05/2018;1;0.7;1500;20;634.770642201835
dog;german sheperd;female;01/05/2018;1;0.8;1800;30;814.55504587156
dog;golden-retriever;female;01/01/2024;1;0.6;1100;0;267.908256880734
dog;golden-retriever;female;01/01/2024;1;0.7;1500;20;348.862385321101
dog;golden-retriever;female;01/01/2024;1;0.8;1800;30;431.98623853211
dog;golden-retriever;female;01/01/2024;1;0.9;2200;50;594.275229357798
dog;golden-retriever;female;01/01/2024;1;1;2500;75;849.357798165137
dog;golden-retriever;female;01/05/2020;1;0.6;1100;0;280.238532110092
dog;golden-retriever;female;01/05/2020;1;0.7;1500;20;359.321100917431
dog;golden-retriever;female;01/05/2020;1;0.8;1800;30;449.490825688073
dog;golden-retriever;female;01/05/2020;1;0.9;2200;50;638.752293577982
dog;golden-retriever;female;01/05/2020;1;1;2500;75;899.669724770642
dog;golden-retriever;female;01/05/2018;1;0.6;1100;0;451.761467889908
dog;golden-retriever;female;01/05/2018;1;0.7;1500;20;545.045871559633
dog;golden-retriever;female;01/05/2018;1;0.8;1800;30;697.087155963303
dog;australian sheperd;female;01/01/2024;2;0.5;1000;0;130.45871559633
dog;australian sheperd;female;01/01/2024;2;0.6;1000;0;150.825688073394
dog;australian sheperd;female;01/01/2024;2;0.7;1000;0;169.43119266055
dog;australian sheperd;female;01/01/2024;2;0.5;1500;0;158.642201834862
dog;australian sheperd;female;01/01/2024;2;0.6;1500;0;185.064220183486
dog;australian sheperd;female;01/01/2024;2;0.7;1500;0;209.064220183486
dog;australian sheperd;female;01/01/2024;2;0.5;2000;0;186.05504587156
dog;australian sheperd;female;01/01/2024;2;0.6;2000;0;218.642201834862
dog;australian sheperd;female;01/01/2024;2;0.7;2000;0;248.807339449541
dog;australian sheperd;female;01/01/2024;2;0.8;1000;0;193.54128440367
dog;australian sheperd;female;01/01/2024;2;0.9;1000;0;217.761467889908
dog;australian sheperd;female;01/01/2024;2;1;1000;0;314.752293577982
dog;australian sheperd;female;01/01/2024;2;0.8;1500;0;239.009174311927
dog;australian sheperd;female;01/01/2024;2;0.9;1500;0;268.844036697248
dog;australian sheperd;female;01/01/2024;2;1;1500;0;388.293577981651
dog;australian sheperd;female;01/01/2024;2;0.8;2000;0;254.091743119266
dog;australian sheperd;female;01/01/2024;2;0.9;2000;0;277.651376146789
dog;australian sheperd;female;01/01/2024;2;1;2000;0;448.844036697248
dog;australian sheperd;female;01/01/2024;2;0.8;2500;0;266.311926605505
dog;australian sheperd;female;01/01/2024;2;0.9;2500;0;292.954128440367
dog;australian sheperd;female;01/01/2024;2;1;2500;0;476.146788990826
dog;australian sheperd;female;01/01/2024;2;0.8;3000;0;284.477064220183
dog;australian sheperd;female;01/01/2024;2;0.9;3000;0;315.082568807339
dog;australian sheperd;female;01/01/2024;2;1;3000;0;515.229357798165
dog;australian sheperd;female;14/05/2022;2;0.5;1000;0;138.605504587156
dog;australian sheperd;female;14/05/2022;2;0.6;1000;0;160.183486238532
dog;australian sheperd;female;14/05/2022;2;0.7;1000;0;180
dog;australian sheperd;female;14/05/2022;2;0.5;1500;0;168.550458715596
dog;australian sheperd;female;14/05/2022;2;0.6;1500;0;196.51376146789
dog;australian sheperd;female;14/05/2022;2;0.7;1500;0;222.165137614679
dog;australian sheperd;female;14/05/2022;2;0.5;2000;0;197.614678899083
dog;australian sheperd;female;14/05/2022;2;0.6;2000;0;232.293577981651
dog;australian sheperd;female;14/05/2022;2;0.7;2000;0;264.330275229358
dog;australian sheperd;female;14/05/2022;2;0.8;1000;0;205.651376146789
dog;australian sheperd;female;14/05/2022;2;0.9;1000;0;231.522935779817
dog;australian sheperd;female;14/05/2022;2;1;1000;0;334.348623853211
dog;australian sheperd;female;14/05/2022;2;0.8;1500;0;253.871559633027
dog;australian sheperd;female;14/05/2022;2;0.9;1500;0;285.577981651376
dog;australian sheperd;female;14/05/2022;2;1;1500;0;412.733944954128
dog;australian sheperd;female;14/05/2022;2;0.8;2000;0;269.834862385321
dog;australian sheperd;female;14/05/2022;2;0.9;2000;0;295.045871559633
dog;australian sheperd;female;14/05/2022;2;1;2000;0;476.917431192661
dog;australian sheperd;female;14/05/2022;2;0.8;2500;0;282.935779816514
dog;australian sheperd;female;14/05/2022;2;0.9;2500;0;311.229357798165
dog;australian sheperd;female;14/05/2022;2;1;2500;0;505.871559633028
dog;australian sheperd;female;14/05/2022;2;0.8;3000;0;302.311926605505
dog;australian sheperd;female;14/05/2022;2;0.9;3000;0;334.788990825688
dog;australian sheperd;female;14/05/2022;2;1;3000;0;547.48623853211
dog;australian sheperd;female;14/05/2020;2;0.5;1000;0;171.192660550459
dog;australian sheperd;female;14/05/2020;2;0.6;1000;0;197.834862385321
dog;australian sheperd;female;14/05/2020;2;0.7;1000;0;222.385321100917
dog;australian sheperd;female;14/05/2020;2;0.5;1500;0;208.183486238532
dog;australian sheperd;female;14/05/2020;2;0.6;1500;0;242.752293577982
dog;australian sheperd;female;14/05/2020;2;0.7;1500;0;274.45871559633
dog;australian sheperd;female;14/05/2020;2;0.5;2000;0;244.073394495413
dog;australian sheperd;female;14/05/2020;2;0.6;2000;0;286.899082568807
dog;australian sheperd;female;14/05/2020;2;0.7;2000;0;326.532110091743
dog;australian sheperd;female;14/05/2020;2;0.8;1000;0;254.201834862385
dog;australian sheperd;female;14/05/2020;2;0.9;1000;0;285.908256880734
dog;australian sheperd;female;14/05/2020;2;1;1000;0;413.064220183486
dog;australian sheperd;female;14/05/2020;2;0.8;1500;0;313.651376146789
dog;australian sheperd;female;14/05/2020;2;0.9;1500;0;352.954128440367
dog;australian sheperd;female;14/05/2020;2;1;1500;0;509.724770642202
dog;australian sheperd;female;14/05/2020;2;0.8;2000;0;333.467889908257
dog;australian sheperd;female;14/05/2020;2;0.9;2000;0;364.403669724771
dog;australian sheperd;female;14/05/2020;2;1;2000;0;589.100917431193
dog;australian sheperd;female;14/05/2020;2;0.8;2500;0;349.43119266055
dog;australian sheperd;female;14/05/2020;2;0.9;2500;0;384.440366972477
dog;australian sheperd;female;14/05/2020;2;1;2500;0;624.990825688073
dog;australian sheperd;female;14/05/2020;2;0.8;3000;0;373.43119266055
dog;australian sheperd;female;14/05/2020;2;0.9;3000;0;413.614678899083
dog;australian sheperd;female;14/05/2020;2;1;3000;0;676.293577981651
dog;german sheperd;female;01/01/2024;2;0.5;1000;0;165.798165137615
dog;german sheperd;female;01/01/2024;2;0.6;1000;0;191.669724770642
dog;german sheperd;female;01/01/2024;2;0.7;1000;0;215.229357798165
dog;german sheperd;female;01/01/2024;2;0.5;1500;0;201.577981651376
dog;german sheperd;female;01/01/2024;2;0.6;1500;0;235.045871559633
dog;german sheperd;female;01/01/2024;2;0.7;1500;0;265.761467889908
dog;german sheperd;female;01/01/2024;2;0.5;2000;0;236.366972477064
dog;german sheperd;female;01/01/2024;2;0.6;2000;0;277.871559633028
dog;german sheperd;female;01/01/2024;2;0.7;2000;0;316.183486238532
dog;german sheperd;female;01/01/2024;2;0.8;1000;0;246.165137614679
dog;german sheperd;female;01/01/2024;2;0.9;1000;0;276.880733944954
dog;german sheperd;female;01/01/2024;2;1;1000;0;399.963302752294
dog;german sheperd;female;01/01/2024;2;0.8;1500;0;303.853211009174
dog;german sheperd;female;01/01/2024;2;0.9;1500;0;341.724770642202
dog;german sheperd;female;01/01/2024;2;1;1500;0;493.54128440367
dog;german sheperd;female;01/01/2024;2;0.8;2000;0;322.899082568807
dog;german sheperd;female;01/01/2024;2;0.9;2000;0;352.954128440367
dog;german sheperd;female;01/01/2024;2;1;2000;0;570.495412844037
dog;german sheperd;female;01/01/2024;2;0.8;2500;0;338.422018348624
dog;german sheperd;female;01/01/2024;2;0.9;2500;0;372.330275229358
dog;german sheperd;female;01/01/2024;2;1;2500;0;605.174311926605
dog;german sheperd;female;01/01/2024;2;0.8;3000;0;361.651376146789
dog;german sheperd;female;01/01/2024;2;0.9;3000;0;400.51376146789
dog;german sheperd;female;01/01/2024;2;1;3000;0;654.935779816514
dog;german sheperd;female;14/05/2022;2;0.5;1000;0;180.880733944954
dog;german sheperd;female;14/05/2022;2;0.6;1000;0;209.064220183486
dog;german sheperd;female;14/05/2022;2;0.7;1000;0;234.825688073394
dog;german sheperd;female;14/05/2022;2;0.5;1500;0;219.853211009174
dog;german sheperd;female;14/05/2022;2;0.6;1500;0;256.403669724771
dog;german sheperd;female;14/05/2022;2;0.7;1500;0;289.761467889908
dog;german sheperd;female;14/05/2022;2;0.5;2000;0;257.724770642202
dog;german sheperd;female;14/05/2022;2;0.6;2000;0;302.97247706422
dog;german sheperd;female;14/05/2022;2;0.7;2000;0;344.807339449541
dog;german sheperd;female;14/05/2022;2;0.8;1000;0;268.293577981651
dog;german sheperd;female;14/05/2022;2;0.9;1000;0;301.871559633028
dog;german sheperd;female;14/05/2022;2;1;1000;0;436.183486238532
dog;german sheperd;female;14/05/2022;2;0.8;1500;0;331.266055045871
dog;german sheperd;female;14/05/2022;2;0.9;1500;0;372.550458715596
dog;german sheperd;female;14/05/2022;2;1;1500;0;538.348623853211
dog;german sheperd;female;14/05/2022;2;0.8;2000;0;352.073394495413
dog;german sheperd;female;14/05/2022;2;0.9;2000;0;384.880733944954
dog;german sheperd;female;14/05/2022;2;1;2000;0;622.128440366972
dog;german sheperd;female;14/05/2022;2;0.8;2500;0;369.02752293578
dog;german sheperd;female;14/05/2022;2;0.9;2500;0;406.128440366972
dog;german sheperd;female;14/05/2022;2;1;2500;0;659.889908256881
dog;german sheperd;female;14/05/2022;2;0.8;3000;0;394.348623853211
dog;german sheperd;female;14/05/2022;2;0.9;3000;0;436.844036697248
dog;german sheperd;female;14/05/2022;2;1;3000;0;714.165137614679
dog;german sheperd;female;14/05/2020;2;0.5;1000;0;223.48623853211
dog;german sheperd;female;14/05/2020;2;0.6;1000;0;258.165137614679
dog;german sheperd;female;14/05/2020;2;0.7;1000;0;290.091743119266
dog;german sheperd;female;14/05/2020;2;0.5;1500;0;271.596330275229
dog;german sheperd;female;14/05/2020;2;0.6;1500;0;316.733944954128
dog;german sheperd;female;14/05/2020;2;0.7;1500;0;357.908256880734
dog;german sheperd;female;14/05/2020;2;0.5;2000;0;318.495412844037
dog;german sheperd;female;14/05/2020;2;0.6;2000;0;374.311926605505
dog;german sheperd;female;14/05/2020;2;0.7;2000;0;425.834862385321
dog;german sheperd;female;14/05/2020;2;0.8;1000;0;331.48623853211
dog;german sheperd;female;14/05/2020;2;0.9;1000;0;372.990825688073
dog;german sheperd;female;14/05/2020;2;1;1000;0;538.788990825688
dog;german sheperd;female;14/05/2020;2;0.8;1500;0;409.211009174312
dog;german sheperd;female;14/05/2020;2;0.9;1500;0;460.293577981651
dog;german sheperd;female;14/05/2020;2;1;1500;0;664.954128440367
dog;german sheperd;female;14/05/2020;2;0.8;2000;0;434.97247706422
dog;german sheperd;female;14/05/2020;2;0.9;2000;0;475.48623853211
dog;german sheperd;female;14/05/2020;2;1;2000;0;768.330275229358
dog;german sheperd;female;14/05/2020;2;0.8;2500;0;455.889908256881
dog;german sheperd;female;14/05/2020;2;0.9;2500;0;501.577981651376
dog;german sheperd;female;14/05/2020;2;1;2500;0;815.119266055046
dog;german sheperd;female;14/05/2020;2;0.8;3000;0;487.155963302752
dog;german sheperd;female;14/05/2020;2;0.9;3000;0;539.559633027523
dog;german sheperd;female;14/05/2020;2;1;3000;0;882.275229357798
dog;french bulldog;female;01/01/2024;2;0.5;1000;0;228.880733944954
dog;french bulldog;female;01/01/2024;2;0.6;1000;0;264.330275229358
dog;french bulldog;female;01/01/2024;2;0.7;1000;0;297.02752293578
dog;french bulldog;female;01/01/2024;2;0.5;1500;0;278.201834862385
dog;french bulldog;female;01/01/2024;2;0.6;1500;0;324.330275229358
dog;french bulldog;female;01/01/2024;2;0.7;1500;0;366.605504587156
dog;french bulldog;female;01/01/2024;2;0.5;2000;0;326.091743119266
dog;french bulldog;female;01/01/2024;2;0.6;2000;0;383.229357798165
dog;french bulldog;female;01/01/2024;2;0.7;2000;0;436.183486238532
dog;french bulldog;female;01/01/2024;2;0.8;1000;0;339.522935779816
dog;french bulldog;female;01/01/2024;2;0.9;1000;0;381.908256880734
dog;french bulldog;female;01/01/2024;2;1;1000;0;551.779816513761
dog;french bulldog;female;01/01/2024;2;0.8;1500;0;419.009174311927
dog;french bulldog;female;01/01/2024;2;0.9;1500;0;471.412844036697
dog;french bulldog;female;01/01/2024;2;1;1500;0;680.917431192661
dog;french bulldog;female;01/01/2024;2;0.8;2000;0;445.43119266055
dog;french bulldog;female;01/01/2024;2;0.9;2000;0;486.825688073394
dog;french bulldog;female;01/01/2024;2;1;2000;0;786.825688073394
dog;french bulldog;female;01/01/2024;2;0.8;2500;0;466.788990825688
dog;french bulldog;female;01/01/2024;2;0.9;2500;0;513.577981651376
dog;french bulldog;female;01/01/2024;2;1;2500;0;834.825688073394
dog;french bulldog;female;01/01/2024;2;0.8;3000;0;498.825688073394
dog;french bulldog;female;01/01/2024;2;0.9;3000;0;552.440366972477
dog;french bulldog;female;01/01/2024;2;1;3000;0;903.412844036697
dog;french bulldog;female;14/05/2022;2;0.5;1000;0;243.082568807339
dog;french bulldog;female;14/05/2022;2;0.6;1000;0;280.954128440367
dog;french bulldog;female;14/05/2022;2;0.7;1000;0;315.633027522936
dog;french bulldog;female;14/05/2022;2;0.5;1500;0;295.596330275229
dog;french bulldog;female;14/05/2022;2;0.6;1500;0;344.587155963303
dog;french bulldog;female;14/05/2022;2;0.7;1500;0;389.504587155963
dog;french bulldog;female;14/05/2022;2;0.5;2000;0;346.45871559633
dog;french bulldog;female;14/05/2022;2;0.6;2000;0;407.229357798165
dog;french bulldog;female;14/05/2022;2;0.7;2000;0;463.48623853211
dog;french bulldog;female;14/05/2022;2;0.8;1000;0;360.770642201835
dog;french bulldog;female;14/05/2022;2;0.9;1000;0;405.798165137615
dog;french bulldog;female;14/05/2022;2;1;1000;0;586.238532110092
dog;french bulldog;female;14/05/2022;2;0.8;1500;0;445.211009174312
dog;french bulldog;female;14/05/2022;2;0.9;1500;0;500.807339449541
dog;french bulldog;female;14/05/2022;2;1;1500;0;723.522935779816
dog;french bulldog;female;14/05/2022;2;0.8;2000;0;473.284403669725
dog;french bulldog;female;14/05/2022;2;0.9;2000;0;517.321100917431
dog;french bulldog;female;14/05/2022;2;1;2000;0;836.036697247706
dog;french bulldog;female;14/05/2022;2;0.8;2500;0;495.963302752293
dog;french bulldog;female;14/05/2022;2;0.9;2500;0;545.724770642202
dog;french bulldog;female;14/05/2022;2;1;2500;0;886.899082568807
dog;french bulldog;female;14/05/2022;2;0.8;3000;0;530.091743119266
dog;french bulldog;female;14/05/2022;2;0.9;3000;0;587.009174311927
dog;french bulldog;female;14/05/2022;2;1;3000;0;959.889908256881
dog;french bulldog;female;14/05/2020;2;0.5;1000;0;300.220183486239
dog;french bulldog;female;14/05/2020;2;0.6;1000;0;347.009174311927
dog;french bulldog;female;14/05/2020;2;0.7;1000;0;389.724770642202
dog;french bulldog;female;14/05/2020;2;0.5;1500;0;365.064220183486
dog;french bulldog;female;14/05/2020;2;0.6;1500;0;425.614678899082
dog;french bulldog;female;14/05/2020;2;0.7;1500;0;481.100917431193
dog;french bulldog;female;14/05/2020;2;0.5;2000;0;428.036697247706
dog;french bulldog;female;14/05/2020;2;0.6;2000;0;503.009174311927
dog;french bulldog;female;14/05/2020;2;0.7;2000;0;572.477064220183
dog;french bulldog;female;14/05/2020;2;0.8;1000;0;445.54128440367
dog;french bulldog;female;14/05/2020;2;0.9;1000;0;501.247706422018
dog;french bulldog;female;14/05/2020;2;1;1000;0;724.183486238532
dog;french bulldog;female;14/05/2020;2;0.8;1500;0;549.908256880734
dog;french bulldog;female;14/05/2020;2;0.9;1500;0;618.605504587156
dog;french bulldog;female;14/05/2020;2;1;1500;0;893.614678899082
dog;french bulldog;female;14/05/2020;2;0.8;2000;0;584.587155963303
dog;french bulldog;female;14/05/2020;2;0.9;2000;0;638.97247706422
dog;french bulldog;female;14/05/2020;2;1;2000;0;1032.77064220183
dog;french bulldog;female;14/05/2020;2;0.8;2500;0;612.770642201835
dog;french bulldog;female;14/05/2020;2;0.9;2500;0;674.201834862385
dog;french bulldog;female;14/05/2020;2;1;2500;0;1095.63302752294
dog;french bulldog;female;14/05/2020;2;0.8;3000;0;654.715596330275
dog;french bulldog;female;14/05/2020;2;0.9;3000;0;725.174311926605
dog;french bulldog;female;14/05/2020;2;1;3000;0;1185.6880733945
dog;australian sheperd;female;01/01/2024;3;0.6;1000;0;129.247706422018
dog;australian sheperd;female;01/01/2024;3;0.7;1000;0;153.02752293578
dog;australian sheperd;female;01/01/2024;3;0.8;1000;0;177.137614678899
dog;australian sheperd;female;01/01/2024;3;0.9;1000;0;201.467889908257
dog;australian sheperd;female;01/01/2024;3;0.6;1200;0;144.440366972477
dog;australian sheperd;female;01/01/2024;3;0.7;1200;0;171.633027522936
dog;australian sheperd;female;01/01/2024;3;0.8;1200;0;199.266055045872
dog;australian sheperd;female;01/01/2024;3;0.9;1200;0;227.119266055046
dog;australian sheperd;female;01/01/2024;3;0.6;1400;0;158.311926605505
dog;australian sheperd;female;01/01/2024;3;0.7;1400;0;188.697247706422
dog;australian sheperd;female;01/01/2024;3;0.8;1400;0;219.633027522936
dog;australian sheperd;female;01/01/2024;3;0.9;1400;0;251.009174311927
dog;australian sheperd;female;01/01/2024;3;0.6;1500;0;165.02752293578
dog;australian sheperd;female;01/01/2024;3;0.7;1500;0;196.844036697248
dog;australian sheperd;female;01/01/2024;3;0.8;1500;0;229.321100917431
dog;australian sheperd;female;01/01/2024;3;0.9;1500;0;262.348623853211
dog;australian sheperd;female;01/01/2024;3;0.6;1600;0;171.522935779817
dog;australian sheperd;female;01/01/2024;3;0.7;1600;0;204.660550458716
dog;australian sheperd;female;01/01/2024;3;0.8;1600;0;238.56880733945
dog;australian sheperd;female;01/01/2024;3;0.9;1600;0;273.247706422018
dog;australian sheperd;female;01/01/2024;3;1;1000;0;246.05504587156
dog;australian sheperd;female;01/01/2024;3;1;1200;0;278.311926605505
dog;australian sheperd;female;01/01/2024;3;0.6;1800;0;183.853211009174
dog;australian sheperd;female;01/01/2024;3;0.7;1800;0;219.853211009174
dog;australian sheperd;female;01/01/2024;3;0.8;1800;0;256.733944954128
dog;australian sheperd;female;01/01/2024;3;0.9;1800;0;294.385321100917
dog;australian sheperd;female;01/01/2024;3;1;1400;0;330.385321100917
dog;australian sheperd;female;01/01/2024;3;1;1500;0;345.357798165138
dog;australian sheperd;female;01/01/2024;3;0.6;2000;0;195.853211009174
dog;australian sheperd;female;01/01/2024;3;0.7;2000;0;234.385321100917
dog;australian sheperd;female;01/01/2024;3;0.8;2000;0;273.908256880734
dog;australian sheperd;female;01/01/2024;3;0.9;2000;0;314.532110091743
dog;australian sheperd;female;01/01/2024;3;1;1600;0;360.220183486239
dog;australian sheperd;female;01/01/2024;3;1;1800;0;408.220183486239
dog;australian sheperd;female;01/01/2024;3;0.6;2500;0;224.146788990826
dog;australian sheperd;female;01/01/2024;3;0.7;2500;0;268.844036697248
dog;australian sheperd;female;01/01/2024;3;0.8;2500;0;314.642201834862
dog;australian sheperd;female;01/01/2024;3;0.9;2500;0;361.651376146789
dog;australian sheperd;female;01/01/2024;3;1;2000;0;436.403669724771
dog;australian sheperd;female;01/01/2024;3;1;2500;0;502.678899082569
dog;australian sheperd;female;01/05/2022;3;0.6;1000;0;137.504587155963
dog;australian sheperd;female;01/05/2022;3;0.7;1000;0;162.715596330275
dog;australian sheperd;female;01/05/2022;3;0.8;1000;0;188.477064220183
dog;australian sheperd;female;01/05/2022;3;0.9;1000;0;214.238532110092
dog;australian sheperd;female;01/05/2022;3;1;1000;0;261.577981651376
dog;australian sheperd;female;01/05/2022;3;0.6;1200;0;153.577981651376
dog;australian sheperd;female;01/05/2022;3;0.7;1200;0;182.422018348624
dog;australian sheperd;female;01/05/2022;3;0.8;1200;0;211.706422018349
dog;australian sheperd;female;01/05/2022;3;0.9;1200;0;241.54128440367
dog;australian sheperd;female;01/05/2022;3;1;1200;0;295.706422018349
dog;australian sheperd;female;01/05/2022;3;0.6;1400;0;168.440366972477
dog;australian sheperd;female;01/05/2022;3;0.7;1400;0;200.477064220183
dog;australian sheperd;female;01/05/2022;3;0.8;1400;0;233.284403669725
dog;australian sheperd;female;01/05/2022;3;0.9;1400;0;266.642201834862
dog;australian sheperd;female;01/05/2022;3;1;1400;0;350.97247706422
dog;australian sheperd;female;01/05/2022;3;0.6;1500;0;175.266055045872
dog;australian sheperd;female;01/05/2022;3;0.7;1500;0;209.174311926605
dog;australian sheperd;female;01/05/2022;3;0.8;1500;0;243.633027522936
dog;australian sheperd;female;01/05/2022;3;0.9;1500;0;278.752293577982
dog;australian sheperd;female;01/05/2022;3;1;1500;0;367.045871559633
dog;australian sheperd;female;01/05/2022;3;0.6;1600;0;182.201834862385
dog;australian sheperd;female;01/05/2022;3;0.7;1600;0;217.43119266055
dog;australian sheperd;female;01/05/2022;3;0.8;1600;0;253.651376146789
dog;australian sheperd;female;01/05/2022;3;0.9;1600;0;290.311926605505
dog;australian sheperd;female;01/05/2022;3;1;1600;0;382.45871559633
dog;australian sheperd;female;01/05/2022;3;0.6;1800;0;195.302752293578
